1JANATAMF,6.2,6.2,6.1,6.1,6.1,0.1,64,1.578,257860
1STPRIMFMF,17.2,17.8,17.0,17.1,17.1,0.1,73,2.054,120110
AAMRANET,36.0,36.5,35.9,36.0,36.0,0.0,292,7.174,199134
AAMRATECH,31.5,33.0,31.4,31.5,31.7,-0.2,251,8.82,278842
ABB1STMF,5.4,5.5,5.4,5.4,5.4,0.0,21,0.557,103048
ABBANK,10.3,10.7,10.2,10.3,10.4,-0.1,265,4.514,436910
ACFL,25.9,26.1,25.6,25.9,25.6,0.3,73,1.739,66955
ACI,278.6,279.8,277.6,278.6,278.7,-0.1,266,9.169,32938
ACIFORMULA,156.4,159.9,156.1,156.4,158.7,-2.3,899,26.068,165941
ACMELAB,87.5,88.0,87.2,87.5,87.5,0.0,270,10.785,123193
ACTIVEFINE,21.1,21.5,20.9,21.1,21.1,0.0,302,11.602,548850
ADNTEL,65.1,65.6,63.9,64.8,65.2,-0.1,253,5.076,78567
ADVENT,24.5,24.8,24.4,24.5,24.6,-0.1,146,3.94,160520
AFCAGRO,24.4,24.9,24.3,24.4,24.7,-0.3,192,3.996,163132
AGNISYSL,22.3,23.3,22.2,22.3,22.6,-0.3,246,7.438,332088
AGRANINS,42.8,44.9,42.8,42.8,43.6,-0.8,92,1.908,44452
AIBL1STIMF,8.0,8.0,7.9,7.9,7.9,0.1,33,0.639,80496
AIL,46.2,47.4,46.0,46.1,46.7,-0.5,121,1.984,42584
ALARABANK,25.4,25.7,25.3,25.4,25.3,0.1,145,2.727,107378
ALIF,13.8,13.9,13.8,13.8,14.0,-0.2,238,8.86,642015
AMANFEED,35.0,35.8,35.0,35.0,35.7,-0.7,603,17.0,484402
AMCL(PRAN),267.0,273.0,265.5,267.0,270.2,-3.2,146,1.781,6622
ANWARGALV,419.0,426.9,412.1,424.9,420.4,-1.4,516,286.783,675618
AOL,37.2,38.5,37.1,37.2,37.8,-0.6,121,1.813,48438
APEXFOODS,176.3,178.3,174.0,176.3,177.2,-0.9,247,4.271,24291
